,word,pn
2091,遜色,-1
2092,多情,-1
2096,惰弱,-1
2098,駄目,-1
2099,耐え難い,-1
2100,態とらしい,-1
2101,態度,-1
2102,大,-1
2103,大仰,-1
2105,大愚,-1
2109,大形,-1
2111,大嫌い,-1
2113,濁る,-1
2114,嘆かわしい,-1
2115,短慮,-1
2121,男尊女卑,-1
2125,値,-1
2126,恥知らず,-1
2130,恥曝し,-1
2132,痴れ者,-1
2136,稚気,-1
2140,致し方,-1
2142,致命,-1
2144,遅々たる,-1
2145,遅い,-1
2146,遅緩,-1
2150,遅鈍,-1
2154,茶番,-1
2158,虫,-1
2161,虫酸,-1
2162,張りつめる,-1
2163,張り出し,-1
2164,挑発,-1
2166,調子はずれ,-1
2170,長たらしい,-1
2171,沈痛,-1
2173,沈鬱,-1
2177,陳腐,-1
2179,痛々しい,-1
2180,痛ましい,-1
2181,低級,-1
2183,低質,-1
2187,低俗,-1
2189,低能,-1
2193,低劣,-1
2195,底,-1
2197,底意地,-1
2198,程遠い,-1
2199,締まり,-1
2202,締まり屋,-1
2206,締り,-1
2208,諦め,-1
2209,泥くさい,-1
2210,泥臭い,-1
2211,鉄面皮,-1
2213,天保銭,-1
2217,田舎,-1
2220,徒,-1
2222,徒爾,-1
2226,杜撰,-1
2232,都合,-1
2233,度,-1
2234,度し難い,-1
2235,土,-1
2236,土臭い,-1
2237,怒り,-1
2243,盗人,-1
2244,逃げ腰,-1
2257,毒々しい,-1
2258,独断,-1
2260,突拍子,-1
2261,突慳貪,-1
2267,鈍,-1
2269,鈍根,-1
2273,鈍重,-1
2277,鈍物,-1
2281,内弁慶,-1
2285,馴れ馴れしい,-1
2286,難,-1
2287,難物,-1
2293,日陰者,-1
2297,乳臭,-1
2301,乳臭い,-1
2302,入り,-1
2304,如何わしい,-1
2313,熱鬧,-1
2317,年寄り,-1
2318,粘っこい,-1
2319,悩ましい,-1
2320,能,-1
2321,能無し,-1
2325,波,-1
2326,派手,-1
2330,破壊,-1
2332,破戒無慙,-1
2336,破滅,-1
2338,破廉恥,-1
2343,馬耳東風,-1
2354,馬鹿らしい,-1
2355,馬鹿臭い,-1
2356,馬鹿馬鹿しい,-1
2358,買い得,-1
2359,売国奴,-1
2363,白々しい,-1
2364,白眼,-1
